
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
   11732.935 RX    1C 00 00 86 72 72
   11743.206 RX    FF 65 78 25
   11763.822 RX    00 80 01 00 00
   11774.074 RX    00 1D 81 4F 03 6B
   11794.688 RX    00 30 0C B2 00 00
   11804.940 RX    00
   11805.036 TX    7D
   11825.586 RX    7D 7D 21 40
   11846.213 RX    0A FF 91 00 58
   11856.682 RX    FF FF 01 00 89
   11877.478 RX    64 00 00 29 FF
   11887.704 RX    00 30 80 7C 95 00
   11908.182 RX    26 00 26 00 26 00 26 00
   11918.547 RX    00 00
   11918.626 TX    80
   11939.092 RX    80 80 1C 00 00
   11949.402 RX    86 72 72 FF 65
   11969.756 RX    78 25 00 80 01
   11990.211 RX    00 00 00 1D 81
   12000.519 RX    4F 03 6B 00 30
   12021.063 RX    0C B2 00 00 00
   12021.190 TX    7D
   12031.587 RX    7D 7D
   12052.022 RX    21 40 0A FF 91
   12062.443 RX    00 58 FF FF 01
   12083.042 RX    00 89 64 00
   12093.354 RX    00 29 FF 00 30
   12113.768 RX    80 7C 95 00 26 00 26 00
   12134.237 RX    26 00 26 00 00 00
   12134.317 TX    80
   12144.675 RX    80 80
   12165.039 RX    1C 00 00 86 72 72
   12175.241 RX    FF 65 78 25
   12195.642 RX    00 80 01 00 00
   12205.824 RX    00 1D 81 4F 03 6B
   12226.188 RX    00 30 0C B2 00 00
   12236.366 RX    00
   12236.421 TX    7D
   12256.800 RX    7D 7D 21 40 0A
   12277.177 RX    FF 91 00 58
   12287.371 RX    FF FF 01 00 89
   12307.743 RX    64 00 00 29 FF
   12318.015 RX    00 30 80 7C 95 00
   12338.335 RX    26 00 26 00 26 00 26 00 00
   12348.520 RX    00
   12348.580 TX    80
   12368.934 RX    80 80 1C 00 00 86
   12389.359 RX    72 72 FF 65 78
   12399.687 RX    25 00 80 01 00
   12420.299 RX    00 00 1D 81 4F
   12430.724 RX    03 6B 00 30 0C B2
   12451.406 RX    00 00 00
   12451.504 TX    7D
   12461.809 RX    7D 7D 21
   12482.330 RX    40 0A FF 91 00
   12492.713 RX    58 FF FF 01 00
   12513.161 RX    89 64 00 00 29
   12533.494 RX    FF 00 30 80
   12543.686 RX    7C 95 00 26 00 26 00 26 00
   12564.056 RX    26 00 00 00
   12564.102 TX    80
   12574.280 RX    80 80 1C
   12594.657 RX    00 00 86 72 72 FF
   12604.975 RX    65 78 25 00
   12625.450 RX    80 01 00 00 00
   12645.878 RX    1D 81 4F 03 6B 00
   12656.146 RX    30 0C B2 00 00 00
   12656.198 TX    7D
   12676.554 RX    7D 7D 21 40
   12686.793 RX    0A FF 91 00
   12707.321 RX    58 FF FF 01 00
   12717.728 RX    89 64 00 00 29
   12738.174 RX    FF 00 30 80 7C
   12748.379 RX    95 00 26 00 26 00 26 00 26
   12768.755 RX    00 00 00
   12768.804 TX    80
   12789.176 RX    80 80 1C
   12799.378 RX    00 00 86 72 72 FF
   12819.733 RX    65 78 25 00 80
   12829.909 RX    01 00 00 00 1D
   12850.256 RX    81 4F 03 6B 00 30
   12860.555 RX    0C B2 00 00 00
   12860.649 TX    7D
   12881.116 RX    7D 7D 21 40 0A
   12901.465 RX    FF 91 00 58 FF
   12911.646 RX    FF 01 00 89 64
   12931.984 RX    00 00 29 FF 00
   12942.159 RX    30 80 7C 95 00
   12962.475 RX    26 00 26 00 26 00 26 00 00
   12972.665 RX    00
   12972.699 TX    80
   12993.020 RX    80 80 1C 00 00 86
   13013.384 RX    72 72 FF 65 78
   13023.557 RX    25 00 80 01
   13043.892 RX    00 00 00 1D 81
   13054.078 RX    4F 03 6B 00 30 0C B2
   13074.448 RX    00 00 00
   13074.481 TX    7D
   13084.640 RX    7D 7D 21
   13104.987 RX    40 0A FF 91 00
   13125.312 RX    58 FF FF 01
   13135.488 RX    00 89 64 00 00
   13155.845 RX    29 FF 00 30 80
   13166.034 RX    7C 95 00 26 00 26 00 26
   13186.377 RX    00 26 00 00 00
   13186.412 TX    80
   13196.576 RX    80 80 1C
   13216.957 RX    00 00 86 72 72 FF
   13237.308 RX    65 78 25 00 80
   13247.485 RX    01 00 00 00 1D
